iteration	cost	C	H	alpha	lambda	time
0	0.2080350748335358	5	50	0.01	0.001	116881
1	0.15765708441975196	5	50	0.01	0.001	116040
2	0.13127802063560415	5	50	0.01	0.001	112871
3	0.11364751877855829	5	50	0.01	0.001	109749
4	0.1014485356984079	5	50	0.01	0.001	114948
5	0.09239810182548312	5	50	0.01	0.001	116444
6	0.08561752886696068	5	50	0.01	0.001	112502
7	0.08028185899327649	5	50	0.01	0.001	111260
8	0.0759241169788769	5	50	0.01	0.001	111985
9	0.07220476091503743	5	50	0.01	0.001	115879
10	0.06895106780954606	5	50	0.01	0.001	116240
11	0.06605950718207008	5	50	0.01	0.001	114714
12	0.06345842516844007	5	50	0.01	0.001	115795
13	0.061091193768607915	5	50	0.01	0.001	114666
14	0.058910834043262285	5	50	0.01	0.001	118195
15	0.05687306295639285	5	50	0.01	0.001	117223
16	0.05496524603674921	5	50	0.01	0.001	116880
17	0.05317635813495007	5	50	0.01	0.001	116770
18	0.051497055824360115	5	50	0.01	0.001	109714
19	0.04992014658637436	5	50	0.01	0.001	118256
