iteration	cost	costReg	C	H	alpha	lambda	time
0	0.2215976666200401	0.22159768822781428	5	50	0.005	1.0E-4	121187
1	0.16413993520912518	0.1641399680666759	5	50	0.005	1.0E-4	118608
2	0.13276514952372662	0.13276519264140035	5	50	0.005	1.0E-4	117571
3	0.10965994940664411	0.10966000177131632	5	50	0.005	1.0E-4	118803
4	0.09190236742515075	0.09190242790491132	5	50	0.005	1.0E-4	117438
5	0.07854454500827933	0.07854461224937744	5	50	0.005	1.0E-4	118977
6	0.06869828226547413	0.06869835493115542	5	50	0.005	1.0E-4	128166
7	0.06114770218498017	0.061147779216819804	5	50	0.005	1.0E-4	118054
8	0.0551405169597242	0.05514059754246875	5	50	0.005	1.0E-4	117318
9	0.050179525030721706	0.050179608553059966	5	50	0.005	1.0E-4	118221
10	0.045985588006264684	0.04598567398821869	5	50	0.005	1.0E-4	117882
11	0.042354214562148884	0.042354302635250224	5	50	0.005	1.0E-4	118040
12	0.03917404337190486	0.03917413323523532	5	50	0.005	1.0E-4	116802
13	0.03636540427464155	0.036365495662104425	5	50	0.005	1.0E-4	117299
14	0.033862990937793845	0.03386308359575301	5	50	0.005	1.0E-4	118161
15	0.03164502566078589	0.03164511932159603	5	50	0.005	1.0E-4	118778
16	0.029673106735609613	0.029673201136498833	5	50	0.005	1.0E-4	118172
17	0.027920867048586276	0.027920961955173344	5	50	0.005	1.0E-4	120129
18	0.026338628266772062	0.026338723462918424	5	50	0.005	1.0E-4	118386
19	0.024913039418298984	0.02491313470449161	5	50	0.005	1.0E-4	119479
